USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.3  0.0  23552 14132 ?        Ss   13:32   0:05 /sbin/init splash
root         261  0.0  0.0      0     0 ?        I<   13:32   0:00 [kworker/R-nvme-auth-wq]
root         263  0.0  0.0      0     0 ?        I    13:32   0:00 [kworker/2:2-cgroup_destroy]
root         269  0.0  0.0      0     0 ?        I    13:32   0:00 [kworker/7:1-mm_percpu_wq]
root         270  0.0  0.0      0     0 ?        I    13:32   0:00 [kworker/10:1-mm_percpu_wq]
root         271  0.0  0.0      0     0 ?        I    13:32   0:00 [kworker/11:1-cgwb_release]
root         308  0.0  0.0      0     0 ?        S    13:32   0:00 [jbd2/nvme0n1p6-8]
root         309  0.0  0.0      0     0 ?        I<   13:32   0:00 [kworker/R-ext4-rsv-conversion]
root         362  0.1  0.1  67680 19032 ?        S<s  13:32   0:01 /usr/lib/systemd/systemd-journald
root         387  0.0  0.0      0     0 ?        I    13:32   0:00 [kworker/11:2-events]
root         421  0.0  0.0  30104  6996 ?        Ss   13:32   0:00 /usr/lib/systemd/systemd-udevd
root         466  0.0  0.0      0     0 ?        S    13:32   0:00 [psimon]
root         544  0.0  0.0      0     0 ?        I    13:32   0:00 [kworker/3:2-mld]
root         550  0.0  0.0      0     0 ?        I    13:32   0:00 [kworker/13:2-cgroup_destroy]
root         581  0.0  0.0      0     0 ?        I    13:32   0:00 [kworker/9:2-cgroup_destroy]
root         615  0.0  0.0      0     0 ?        I    13:32   0:00 [kworker/14:2-mm_percpu_wq]
root         623  0.0  0.0      0     0 ?        I<   13:32   0:00 [kworker/R-cfg80211]
root         627  0.0  0.0      0     0 ?        I<   13:32   0:00 [kworker/R-cryptd]
root         630  0.0  0.0   9236  1744 ?        Ss   13:32   0:00 /sbin/mount.ntfs /dev/nvme0n1p5 /media/ubuntu_files -o rw
systemd+     795  0.0  0.0  17732  7424 ?        Ss   13:32   0:00 /usr/lib/systemd/systemd-oomd
systemd+     822  0.0  0.0  21792 12340 ?        Ss   13:32   0:00 /usr/lib/systemd/systemd-resolved
systemd+     824  0.0  0.0  91396  8024 ?        Ssl  13:32   0:00 /usr/lib/systemd/systemd-timesyncd
root         833  0.2  0.0      0     0 ?        S    13:32   0:03 [napi/phy0-0]
root         834  0.0  0.0      0     0 ?        S    13:32   0:00 [napi/phy0-0]
root         835  0.1  0.0      0     0 ?        S    13:32   0:01 [napi/phy0-0]
root         853  0.0  0.0      0     0 ?        S    13:32   0:00 [nv_queue]
root         854  0.0  0.0      0     0 ?        S    13:32   0:00 [nv_queue]
root         855  0.0  0.0      0     0 ?        S    13:32   0:00 [nv_open_q]
